union_id,union_name,thana_id
10040913,AMTALI,100409
10040987,KUKUA,100409
10040906,"WARD NO-06",100409
10040947,CHOWRA,100409
10040904,"WARD NO-04",100409
10040923,ATHARAGASHIA,100409
10040915,ARPANGASHIA,100409
10040971,HALDIA,100409
10040963,GULISAKHALI,100409
10041923,BAMNA,100419
10041947,BUKABUNIA,100419
10041971,DAUATALA,100419
10041995,RAMNA,100419
10042806,"WARD NO-06",100428
10042876,KEORABUNIA,100428
10042828,BARGUNA,100428
10042817,"AYLA PATAKATA",100428
10042847,DHALUA,100428
10042895,NALTONA,100428
10042819,BADARKHALI,100428
10042866,GAURICHANNA,100428
10042885,M.BALIATALI,100428
10042808,"WARD NO-08",100428
10042809,"WARD NO-09",100428
10042801,"WARD NO-01",100428
10042802,"WARD NO-02",100428
10042805,"WARD NO-05",100428
10042838,"BURIR CHAR",100428
10042857,PHULJHURY,100428
10042803,"WARD NO-03",100428
10042804,"WARD NO-04",100428
10044711,BETAGI,100447
10044783,SARISHAMURI,100447
10044759,KAZIRABAD,100447
10044771,MOKAMIA,100447
10044735,"BURA MAZUMDAR",100447
10044707,"WARD NO-07",100447
10044723,BIBICHINI,100447
10044747,HOSNABAD,100447
10044703,"WARD NO-03",100447
10044704,"WARD NO-04",100447
10044705,"WARD NO-05",100447
10048547,KANTHALTALI,100485
10048535,KALMEGHA,100485
10048571,PATHARGHATA,100485
10048523,KAKCHIRA,100485
10048511,"CHAR DUANI",100485
10048502,"WARD NO-02",100485
10048583,RAIHANPUR,100485
10048506,"WARD NO-06",100485
10048559,"NACHNA PARA",100485
10048503,"WARD NO-03",100485
10048508,"WARD NO-08",100485
10049094,"PONCHA KORALIA",100490
10049079,KARAIBARIA,100490
10049043,"CHHOTA BAGI",100490
10049039,BARABAGI,100490
10049095,SARIKKHALI,100490
10049096,SONAKATA,100490
10049091,NISHANBARIA,100490
10060287,RATNAPUR,100602
10060215,BAKAL,100602
10060247,GAILA,100602
10060279,RAJIHER,100602
10060213,BAGDHA,100602
10060340,DEHERGATI,100603
10060354,KEDARPUR,100603
10060313,"JAHANGIR NAGAR(AGARPUR)",100603
10060381,RAHMATPUR,100603
10060327,CHANDPASHA,100603
10060367,"MADHAB PASHA",100603
10060727,DARIAL,100607
10060794,RANGASREE,100607
10060712,"BHAR PASHA",100607
10060774,NALUA,100607
10060733,DUDHAL,100607
10060788,"PADRI SHIBPUR",100607
10060702,"WARD NO-02",100607
10060713,CHARADI,100607
10060720,"CHAR AMADDI",100607
10060705,"WARD NO-05",100607
10060704,"WARD NO-04",100607
10060754,GARURIA,100607
10060781,NIAMATI,100607
10060761,KABAI,100607
10060740,"DURGA PASHA",100607
10060767,KALASKATI,100607
10060747,FARIDPUR,100607
10060706,"WARD NO-06",100607
10061063,"SALIA BAKPUR",100610
10061010,BANARIPARA,100610
10061073,SAIDKATI,100610
10061002,"WARD NO-02",100610
10061042,CHAKHAR,100610
10061021,BAISARI,100610
10061052,ILUHAR,100610
10061005,"WARD NO-05",100610
10061009,"WARD NO-09",100610
10061031,BISARKANDI,100610
10061084,UDAYKATI,100610
10063201,"WARD NO-01",100632
10063206,"WARD NO-06",100632
10063255,KHANJAPUR,100632
10063223,BARTHI,100632
10063231,BATAJORE,100632
10063208,"WARD NO-08",100632
10063238,CHANDSHI,100632
10063271,NALCHIRA,100632
10063205,"WARD NO-05",100632
10063294,SARIKAL,100632
10063209,"WARD NO-09",100632
10063263,MAHILARA,100632
10063207,"WARD NO-07",100632
10063667,HARINATHPUR,100636
10063681,"HIZLA GAURABDI",100636
10063613,"BARA JALIA",100636
10063694,MEMANIA,100636
10063627,DHULKHOLA,100636
10063654,GUABARIA,100636
10065143,"CHAR KOWA",100651
10065112,"WARD NO-12",100651
10065125,"WARD NO-25",100651
10065106,"WARD NO-06",100651
10065126,"WARD NO-26",100651
10065103,"WARD NO-03",100651
10065115,"WARD NO-15",100651
10065127,"WARD NO-27",100651
10065116,"WARD NO-16",100651
10065105,"WARD NO-05",100651
10065133,"CHANDRA MOHAN",100651
10065119,"WARD NO-19",100651
10065123,"WARD NO-23",100651
10065120,"WARD NO-20",100651
10065109,"WARD NO-09",100651
10065129,"WARD NO-29",100651
10065194,TUNGIBARIA,100651
10065121,"WARD NO-21",100651
10065130,"WARD NO-30",100651
10065111,"WARD NO-11",100651
10065104,"WARD NO-04",100651
10065117,"WARD NO-17",100651
10065101,"WARD NO-01",100651
10065118,"WARD NO-18",100651
10065151,"CHAR MONAI",100651
10065128,"WARD NO-28",100651
10065132,CHANDPURA,100651
10065186,SHAYESTABAD,100651
10065134,"CHAR BARIA",100651
10065122,"WARD NO-22",100651
10065160,JAGUA,100651
10065177,"ROY PASHA KARAPUR",100651
10065169,KASHIPUR,100651
10065102,"WARD NO-02",100651
10065108,"WARD NO-08",100651
10065113,"WARD NO-13",100651
10065114,"WARD NO-14",100651
10065124,"WARD NO-24",100651
10066202,"WARD NO-02",100662
10066271,JANGALIA,100662
10066294,ULANIA,100662
10066213,ALIMABAD,100662
10066215,"ANDHAR MANIK",100662
10066279,LATA,100662
10066223,"BHASAN CHAR",100662
10066231,BIDYANANDAPUR,100662
10066239,CHANDPUR,100662
10066247,"CHAR EKKARIA",100662
10066263,"DARI CHAR KHAJURIA",100662
10066204,"WARD NO-04",100662
10066255,"CHAR GOPALPUR",100662
10066209,"WARD NO-09",100662
10066287,MEHENDIGANJ,100662
10066203,"WARD NO-03",100662
10066205,"WARD NO-05",100662
10066911,BATAMARA,100669
10066959,MULADI,100669
10066947,"KAZIR CHAR",100669
10066971,NAZIRPUR,100669
10066935,GACHHUA,100669
10066983,SAFIPUR,100669
10066923,"CHAR KALEKHAN",100669
10066903,"WARD NO-03",100669
10066905,"WARD NO-05",100669
10066906,"WARD NO-06",100669
10066904,"WARD NO-04",100669
10066901,"WARD NO-01",100669
10069421,"BARA KOTHA",100694
10069410,BAMRAIL,100694
10069494,SHOLAK,100694
10069452,JALLA,100694
10069463,OTRA,100694
10069442,HARTA,100694
10069431,GUTHIA,100694
10069473,SATLA,100694
10069484,SHIKARPUR,100694
10091851,ILLISHA,100918
10091865,"UTTAR DIGHALDI",100918
10091836,DHANIA,100918
10091821,"CHAR SAMAIA",100918
10091814,BAPTA,100918
10091880,"DAKSHIN DIGHALDI",100918
10091887,VEDURIA,100918
10091812,ALINAGAR,100918
10091855,"PASCHIM ILISHA",100918
10091808,"WARD NO-08",100918
10091804,"WARD NO-04",100918
10091803,"WARD NO-03",100918
10091809,"WARD NO-09",100918
10091801,"WARD NO-01",100918
10091806,"WARD NO-06",100918
10091894,"BHELU MIAH",100918
10091829,"CHAR SHIBPUR",100918
10091802,"WARD NO-02",100918
10091858,KACHIA,100918
10091873,RAJAPUR,100918
10091807,"WARD NO-07",100918
10091805,"WARD NO-05",100918
10092128,GANGAPUR,100921
10092106,"WARD NO-06",100921
10092116,"BARA MANIKA",100921
10092138,"HASSAN NAGAR",100921
10092166,PAKSHIA,100921
10092102,"WARD NO-02",100921
10092157,KUTBA,100921
10092147,KACHIA,100921
10092119,DEULA,100921
10092176,SACHRA,100921
10092195,TABGI,100921
10092108,"WARD NO-08",100921
10092557,HAZARIGANJ,100925
10092515,AMINABAD,100925
10092511,"ABU BAKARPUR",100925
10092528,"CHAR KALMI",100925
10092585,NURABAD,100925
10092538,"CHAR MADRAS",100925
10092519,ASLAMPUR,100925
10092513,ABDULLAPUR,100925
10092576,NILKAMAL,100925
10092553,EWAJPUR,100925
10092588,RASULPUR,100925
10092514,"ADHAKHA NAZRUL NAGAR",100925
10092547,"CHAR MANIKA",100925
10092504,"WARD NO-04",100925
10092573,MUJIBNAGAR,100925
10092508,"WARD NO-08",100925
10092501,"WARD NO-01",100925
10092566,JINNAGHAR,100925
10092509,"WARD NO-09",100925
10092595,OSMANGANJ,100925
10092551,"DHAL CHAR",100925
10092563,JAHANPUR,100925
10092505,"WARD NO-05",100925
10092570,"CHAR KUKRI MUKRI",100925
10092502,"WARD NO-02",100925
10092507,"WARD NO-07",100925
10092995,SAIDPUR,100929
10092919,"CHAR KHALIFA",100929
10092985,"DAKSHIN JOYNAGAR",100929
10092976,"UTTAR JOYNAGAR",100929
10092928,"CHAR PATA",100929
10092904,"WARD NO-04",100929
10092907,"WARD NO-07",100929
10092909,"WARD NO-09",100929
10092957,MEDUA,100929
10095428,"DHALI GAURNAGAR",100954
10095457,LALMOHAN,100954
10095447,KALMA,100954
10095419,"CHAR BHUTA",100954
10095402,"WARD NO-02",100954
10095466,"LORD HARDINJE",100954
10095416,BADARPUR,100954
10095438,FARAZGANJ,100954
10095470,"PASCHIM CHAR UMED",100954
10095406,"WARD NO-06",100954
10095409,"WARD NO-09",100954
10095407,"WARD NO-07",100954
10095476,RAMAGANJ,100954
10095408,"WARD NO-08",100954
10095404,"WARD NO-04",100954
10095401,"WARD NO-01",100954
